Threshold,Number of Directional Changes
0.00001,27761
0.00002,24714
0.00003,22286
0.00004,19861
0.00005,17640
0.00006,15831
0.00007,14363
0.00008,13121
0.00009,11553
0.00010,10264
0.00011,9265
0.00012,8509
0.00013,7874
0.00014,7265
0.00015,6685
0.00016,6296
0.00017,5824
0.00018,5445
0.00019,5071
0.00020,4730
0.00021,4438
0.00022,4145
0.00023,3894
0.00024,3660
0.00025,3426
0.00026,3274
0.00027,3107
0.00028,2960
0.00029,2818
0.00030,2670
0.00031,2561
0.00032,2449
0.00033,2361
0.00034,2265
0.00035,2162
0.00036,2036
0.00037,1966
0.00038,1860
0.00039,1791
0.00040,1730
0.00041,1677
0.00042,1583
0.00043,1552
0.00044,1467
0.00045,1429
0.00046,1400
0.00047,1338
0.00048,1295
0.00049,1261
0.00050,1175
0.00051,1153
0.00052,1155
0.00053,1086
0.00054,1058
0.00055,1006
0.00056,989
0.00057,982
0.00058,927
0.00059,891
0.00060,864
0.00061,838
0.00062,827
0.00063,805
0.00064,770
0.00065,763
0.00066,758
0.00067,725
0.00068,712
0.00069,688
0.00070,684
0.00071,656
0.00072,637
0.00073,619
0.00074,607
0.00075,594
0.00076,569
0.00077,558
0.00078,556
0.00079,557
0.00080,556
0.00081,531
0.00082,525
0.00083,523
0.00084,523
0.00085,508
0.00086,496
0.00087,482
0.00088,463
0.00089,438
0.00090,415
0.00091,429
0.00092,415
0.00093,426
0.00094,411
0.00095,387
0.00096,386
0.00097,379
0.00098,376
0.00099,352
0.00100,346
